GEOID,NAME,NAMEmsa,tpopr,pwhite,pblack,pasian,phisp,povr,ttrips,PM25,mpm,npm
36061012500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2407,0.516410469,0.019526381,0.294557541,0.130037391,0.116327378,157385,8.670596721,8.603143615,8.677152186
36061014000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7529,0.855757737,0.010359942,0.058839155,0.063222207,0.026431133,110298,8.554957377,8.482036076,8.553610519
36061014601,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4268,0.66049672,0.001405811,0.169400187,0.153467666,0.046860356,48885,8.521339344,8.504061745,8.527926981
36061015400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",13554,0.679799321,0.043750922,0.087428066,0.132211893,0.060277409,197726,8.517666393,8.510757313,8.510656239
36061016400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7286,0.117897337,0.206423278,0.15701345,0.504940983,0.4143563,111288,8.472257924,8.504164494,8.474782377
36061016900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",8418,0.793062485,0.013542409,0.106913756,0.081016869,0.073989687,76262,8.59468306,8.5457141,8.598890801
36061018900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",11800,0.22940678,0.159745763,0.061440678,0.503898305,0.319634298,149159,8.546588251,8.531483959,8.547426093
36061006600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",10619,0.585836708,0.010641303,0.193521047,0.179772107,0.210654224,130988,8.685389344,8.603727264,8.689495738
36061007700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6117,0.825731568,0.007356547,0.059342815,0.060650646,0.07683505,53218,8.764200273,8.603905352,8.77213725
36061008300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3844,0.42950052,0.116545265,0.069458897,0.340010406,0.253902185,71456,8.771462568,8.634511674,8.757183106
36061008700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7186,0.723907598,0.017951573,0.079599221,0.145839132,0.051071528,77914,8.744731694,8.612909929,8.745211983
36061009000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7500,0.686,0.027466667,0.192933333,0.0712,0.0704,95656,8.639862295,8.575358479,8.635399617
36061010900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",182,0.67032967,0.054945055,0.236263736,0.010989011,0.038461538,39392,8.706494536,8.59328364,8.710554333
36061011900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1097,0.267092069,0.432999088,0.038286235,0.261622607,0.439380128,127222,8.686778689,8.594089367,8.688482201
36061023900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3190,0.110971787,0.311285266,0.034796238,0.532915361,0.226332288,33492,8.431255738,8.498157596,8.434491348
36061026500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",8146,0.309231525,0.050454211,0.015835993,0.612325068,0.168571078,77100,8.450228142,8.515914585,8.447450328
36061027700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6800,0.133970588,0.091764706,0.023088235,0.743088235,0.363404874,74600,8.413741257,8.480133923,8.423830328
36061029100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",12654,0.050023708,0.046230441,0.041804963,0.857199305,0.213699067,111203,8.425734699,8.476012102,8.423530055
36061030300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4581,0.349050426,0.045404933,0.028814669,0.546823838,0.165684348,42395,8.422046175,8.487433429,8.423139344
36085012806,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5574,0.651058486,0.066738428,0.048439182,0.151417295,0.135684722,125227,8.659215847,8.671605697,8.681242295
36085017008,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7608,0.885646688,0.006440589,0.039957939,0.064143007,0.046004206,237598,8.713527596,8.669814238,8.717432195
36005036901,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2289,0.001747488,0.221494102,0,0.770642202,0.501096011,29268,8.302802459,8.382850531,8.305464686
36005038800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2780,0.00971223,0.718345324,0.016546763,0.253597122,0.180215827,49184,8.363020765,8.370465207,8.363110565
36005038900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5453,0.281863195,0.068035944,0.032825967,0.609756098,0.43292797,72966,8.33617377,8.377517898,8.338827049
36005039902,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5346,0.050317995,0.151889263,0,0.775346053,0.389637112,82393,8.356860383,8.405852271,8.356970765
36081052100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2366,0.64158918,0.018596788,0.059594252,0.249788673,0.111440678,37084,8.389291803,8.367372356,8.394318689
